user_id,age,gender,occupation,zip_code
1,24.0,M,technician,85711
2,53.0,F,other,94043
3,23.0,M,writer,32067
4,24.0,M,technician,43537
5,33.0,F,other,15213
6,42.0,M,executive,98101
7,57.0,M,administrator,91344
8,36.0,M,administrator,05201
9,29.0,M,student,01002
10,53.0,M,lawyer,90703
11,39.0,F,other,30329
12,28.0,F,other,06405
13,47.0,M,educator,29206
14,45.0,M,scientist,55106
15,49.0,F,educator,97301
16,21.0,M,entertainment,10309
17,30.0,M,programmer,06355
18,35.0,F,other,37212
19,40.0,M,librarian,02138
20,42.0,F,homemaker,95660
21,26.0,M,writer,30068
22,25.0,M,writer,40206
23,30.0,F,artist,48197
24,21.0,F,artist,94533
25,39.0,M,engineer,55107
26,49.0,M,engineer,21044
27,40.0,F,librarian,30030
28,32.0,M,writer,55369
29,41.0,M,programmer,94043
30,7.0,M,student,55436
31,24.0,M,artist,10003
32,28.0,F,student,78741
33,23.0,M,student,27510
34,38.0,F,administrator,42141
35,20.0,F,homemaker,42459
36,19.0,F,student,93117
37,23.0,M,student,55105
38,28.0,F,other,54467
39,41.0,M,entertainment,01040
40,38.0,M,scientist,27514
41,33.0,M,engineer,80525
42,30.0,M,administrator,17870
43,29.0,F,librarian,20854
44,26.0,M,technician,46260
45,29.0,M,programmer,50233
46,27.0,F,marketing,46538
47,53.0,M,marketing,07102
48,45.0,M,administrator,12550
49,23.0,F,student,76111
50,21.0,M,writer,52245
51,28.0,M,educator,16509
52,18.0,F,student,55105
53,26.0,M,programmer,55414
54,22.0,M,executive,66315
55,37.0,M,programmer,01331
56,25.0,M,librarian,46260
57,16.0,M,none,84010
58,27.0,M,programmer,52246
59,49.0,M,educator,08403
60,50.0,M,healthcare,06472
61,36.0,M,engineer,30040
62,27.0,F,administrator,97214
63,31.0,M,marketing,75240
64,32.0,M,educator,43202
65,51.0,F,educator,48118
66,23.0,M,student,80521
67,17.0,M,student,60402
68,19.0,M,student,22904
69,24.0,M,engineer,55337
70,27.0,M,engineer,60067
71,39.0,M,scientist,98034
72,48.0,F,administrator,73034
73,24.0,M,student,41850
74,39.0,M,scientist,T8H1N
75,24.0,M,entertainment,08816
76,20.0,M,student,02215
77,30.0,M,technician,29379
78,26.0,M,administrator,61801
79,39.0,F,administrator,03755
80,34.0,F,administrator,52241
81,21.0,M,student,21218
82,50.0,M,programmer,22902
83,40.0,M,other,44133
84,32.0,M,executive,55369
85,51.0,M,educator,20003
86,26.0,M,administrator,46005
87,47.0,M,administrator,89503
88,49.0,F,librarian,11701
89,43.0,F,administrator,68106
90,60.0,M,educator,78155
91,55.0,M,marketing,01913
92,32.0,M,entertainment,80525
93,48.0,M,executive,23112
94,26.0,M,student,71457
95,31.0,M,administrator,10707
96,25.0,F,artist,75206
97,43.0,M,artist,98006
98,49.0,F,executive,90291
99,20.0,M,student,63129
100,36.0,M,executive,90254
101,15.0,M,student,05146
102,38.0,M,programmer,30220
103,26.0,M,student,55108
104,27.0,M,student,55108
105,24.0,M,engineer,94043
106,61.0,M,retired,55125
107,39.0,M,scientist,60466
108,44.0,M,educator,63130
109,29.0,M,other,55423
110,19.0,M,student,77840
111,57.0,M,engineer,90630
112,30.0,M,salesman,60613
113,47.0,M,executive,95032
114,27.0,M,programmer,75013
115,31.0,M,engineer,17110
116,40.0,M,healthcare,97232
117,20.0,M,student,16125
118,21.0,M,administrator,90210
119,32.0,M,programmer,67401
120,47.0,F,other,06260
121,54.0,M,librarian,99603
122,32.0,F,writer,22206
123,48.0,F,artist,20008
124,34.0,M,student,60615
125,30.0,M,lawyer,22202
126,28.0,F,lawyer,20015
127,33.0,M,none,73439
128,24.0,F,marketing,20009
129,36.0,F,marketing,07039
130,20.0,M,none,60115
131,59.0,F,administrator,15237
132,24.0,M,other,94612
133,53.0,M,engineer,78602
134,31.0,M,programmer,80236
135,23.0,M,student,38401
136,51.0,M,other,97365
137,50.0,M,educator,84408
138,46.0,M,doctor,53211
139,20.0,M,student,08904
140,30.0,F,student,32250
141,49.0,M,programmer,36117
142,13.0,M,other,48118
143,42.0,M,technician,08832
144,53.0,M,programmer,20910
145,31.0,M,entertainment,V3N4P
146,45.0,M,artist,83814
147,40.0,F,librarian,02143
148,33.0,M,engineer,97006
149,35.0,F,marketing,17325
150,20.0,F,artist,02139
151,38.0,F,administrator,48103
152,33.0,F,educator,68767
153,25.0,M,student,60641
154,25.0,M,student,53703
155,32.0,F,other,11217
156,25.0,M,educator,08360
157,57.0,M,engineer,70808
158,50.0,M,educator,27606
159,23.0,F,student,55346
160,27.0,M,programmer,66215
161,50.0,M,lawyer,55104
162,25.0,M,artist,15610
163,49.0,M,administrator,97212
164,47.0,M,healthcare,80123
165,20.0,F,other,53715
166,47.0,M,educator,55113
167,37.0,M,other,L9G2B
168,48.0,M,other,80127
169,52.0,F,other,53705
170,53.0,F,healthcare,30067
171,48.0,F,educator,78750
172,55.0,M,marketing,22207
173,56.0,M,other,22306
174,30.0,F,administrator,52302
175,26.0,F,scientist,21911
176,28.0,M,scientist,07030
177,20.0,M,programmer,19104
178,26.0,M,other,49512
179,15.0,M,entertainment,20755
180,22.0,F,administrator,60202
181,26.0,M,executive,21218
182,36.0,M,programmer,33884
183,33.0,M,scientist,27708
184,37.0,M,librarian,76013
185,53.0,F,librarian,97403
186,39.0,F,executive,00000
187,26.0,M,educator,16801
188,42.0,M,student,29440
189,32.0,M,artist,95014
190,30.0,M,administrator,95938
191,33.0,M,administrator,95161
192,42.0,M,educator,90840
193,29.0,M,student,49931
194,38.0,M,administrator,02154
195,42.0,M,scientist,93555
196,49.0,M,writer,55105
197,55.0,M,technician,75094
198,21.0,F,student,55414
199,30.0,M,writer,17604
200,40.0,M,programmer,93402
201,27.0,M,writer,E2A4H
202,41.0,F,educator,60201
203,25.0,F,student,32301
204,52.0,F,librarian,10960
205,47.0,M,lawyer,06371
206,14.0,F,student,53115
207,39.0,M,marketing,92037
208,43.0,M,engineer,01720
209,33.0,F,educator,85710
210,39.0,M,engineer,03060
211,66.0,M,salesman,32605
212,49.0,F,educator,61401
213,33.0,M,executive,55345
214,26.0,F,librarian,11231
215,35.0,M,programmer,63033
216,22.0,M,engineer,02215
217,22.0,M,other,11727
218,37.0,M,administrator,06513
219,32.0,M,programmer,43212
220,30.0,M,librarian,78205
221,19.0,M,student,20685
222,29.0,M,programmer,27502
223,19.0,F,student,47906
224,31.0,F,educator,43512
225,51.0,F,administrator,58202
226,28.0,M,student,92103
227,46.0,M,executive,60659
228,21.0,F,student,22003
229,29.0,F,librarian,22903
230,28.0,F,student,14476
231,48.0,M,librarian,01080
232,45.0,M,scientist,99709
233,38.0,M,engineer,98682
234,60.0,M,retired,94702
235,37.0,M,educator,22973
236,44.0,F,writer,53214
237,49.0,M,administrator,63146
238,42.0,F,administrator,44124
239,39.0,M,artist,95628
240,23.0,F,educator,20784
241,26.0,F,student,20001
242,33.0,M,educator,31404
243,33.0,M,educator,60201
244,28.0,M,technician,80525
245,22.0,M,student,55109
246,19.0,M,student,28734
247,28.0,M,engineer,20770
248,25.0,M,student,37235
249,25.0,M,student,84103
250,29.0,M,executive,95110
251,28.0,M,doctor,85032
252,42.0,M,engineer,07733
253,26.0,F,librarian,22903
254,44.0,M,educator,42647
255,23.0,M,entertainment,07029
256,35.0,F,none,39042
257,17.0,M,student,77005
258,19.0,F,student,77801
259,21.0,M,student,48823
260,40.0,F,artist,89801
261,28.0,M,administrator,85202
262,19.0,F,student,78264
263,41.0,M,programmer,55346
264,36.0,F,writer,90064
265,26.0,M,executive,84601
266,62.0,F,administrator,78756
267,23.0,M,engineer,83716
268,24.0,M,engineer,19422
269,31.0,F,librarian,43201
270,18.0,F,student,63119
271,51.0,M,engineer,22932
272,33.0,M,scientist,53706
273,50.0,F,other,10016
274,20.0,F,student,55414
275,38.0,M,engineer,92064
276,21.0,M,student,95064
277,35.0,F,administrator,55406
278,37.0,F,librarian,30033
279,33.0,M,programmer,85251
280,30.0,F,librarian,22903
281,15.0,F,student,06059
282,22.0,M,administrator,20057
283,28.0,M,programmer,55305
284,40.0,M,executive,92629
285,25.0,M,programmer,53713
286,27.0,M,student,15217
287,21.0,M,salesman,31211
288,34.0,M,marketing,23226
289,11.0,M,none,94619
290,40.0,M,engineer,93550
291,19.0,M,student,44106
292,35.0,F,programmer,94703
293,24.0,M,writer,60804
294,34.0,M,technician,92110
295,31.0,M,educator,50325
296,43.0,F,administrator,16803
297,29.0,F,educator,98103
298,44.0,M,executive,01581
299,29.0,M,doctor,63108
300,26.0,F,programmer,55106
301,24.0,M,student,55439
302,42.0,M,educator,77904
303,19.0,M,student,14853
304,22.0,F,student,71701
305,23.0,M,programmer,94086
306,45.0,M,other,73132
307,25.0,M,student,55454
308,60.0,M,retired,95076
309,40.0,M,scientist,70802
310,37.0,M,educator,91711
311,32.0,M,technician,73071
312,48.0,M,other,02110
313,41.0,M,marketing,60035
314,20.0,F,student,08043
315,31.0,M,educator,18301
316,43.0,F,other,77009
317,22.0,M,administrator,13210
318,65.0,M,retired,06518
319,38.0,M,programmer,22030
320,19.0,M,student,24060
321,49.0,F,educator,55413
322,20.0,M,student,50613
323,21.0,M,student,19149
324,21.0,F,student,02176
325,48.0,M,technician,02139
326,41.0,M,administrator,15235
327,22.0,M,student,11101
328,51.0,M,administrator,06779
329,48.0,M,educator,01720
330,35.0,F,educator,33884
331,33.0,M,entertainment,91344
332,20.0,M,student,40504
333,47.0,M,other,V0R2M
334,32.0,M,librarian,30002
335,45.0,M,executive,33775
336,23.0,M,salesman,42101
337,37.0,M,scientist,10522
338,39.0,F,librarian,59717
339,35.0,M,lawyer,37901
340,46.0,M,engineer,80123
341,17.0,F,student,44405
342,25.0,F,other,98006
343,43.0,M,engineer,30093
344,30.0,F,librarian,94117
345,28.0,F,librarian,94143
346,34.0,M,other,76059
347,18.0,M,student,90210
348,24.0,F,student,45660
349,68.0,M,retired,61455
350,32.0,M,student,97301
351,61.0,M,educator,49938
352,37.0,F,programmer,55105
353,25.0,M,scientist,28480
354,29.0,F,librarian,48197
355,25.0,M,student,60135
356,32.0,F,homemaker,92688
357,26.0,M,executive,98133
358,40.0,M,educator,10022
359,22.0,M,student,61801
360,51.0,M,other,98027
361,22.0,M,student,44074
362,35.0,F,homemaker,85233
363,20.0,M,student,87501
364,63.0,M,engineer,01810
365,29.0,M,lawyer,20009
366,20.0,F,student,50670
367,17.0,M,student,37411
368,18.0,M,student,92113
369,24.0,M,student,91335
370,52.0,M,writer,08534
371,36.0,M,engineer,99206
372,25.0,F,student,66046
373,24.0,F,other,55116
374,36.0,M,executive,78746
