user_id,age,gender,occupation,zip_code,age_group
1,24,M,technician,85711,Young Adult
2,53,F,other,94043,Senior
3,23,M,writer,32067,Young Adult
4,24,M,technician,43537,Young Adult
5,33,F,other,15213,Adult
6,42,M,executive,98101,Adult
7,57,M,administrator,91344,Senior
8,36,M,administrator,05201,Adult
9,29,M,student,01002,Young Adult
10,53,M,lawyer,90703,Senior
11,39,F,other,30329,Adult
12,28,F,other,06405,Young Adult
13,47,M,educator,29206,Adult
14,45,M,scientist,55106,Adult
15,49,F,educator,97301,Adult
16,21,M,entertainment,10309,Young Adult
17,30,M,programmer,06355,Young Adult
18,35,F,other,37212,Adult
19,40,M,librarian,02138,Adult
20,42,F,homemaker,95660,Adult
21,26,M,writer,30068,Young Adult
22,25,M,writer,40206,Young Adult
23,30,F,artist,48197,Young Adult
24,21,F,artist,94533,Young Adult
25,39,M,engineer,55107,Adult
26,49,M,engineer,21044,Adult
27,40,F,librarian,30030,Adult
28,32,M,writer,55369,Adult
29,41,M,programmer,94043,Adult
30,7,M,student,55436,Teen
31,24,M,artist,10003,Young Adult
32,28,F,student,78741,Young Adult
33,23,M,student,27510,Young Adult
34,38,F,administrator,42141,Adult
35,20,F,homemaker,42459,Young Adult
36,19,F,student,93117,Young Adult
37,23,M,student,55105,Young Adult
38,28,F,other,54467,Young Adult
39,41,M,entertainment,01040,Adult
40,38,M,scientist,27514,Adult
41,33,M,engineer,80525,Adult
42,30,M,administrator,17870,Young Adult
43,29,F,librarian,20854,Young Adult
44,26,M,technician,46260,Young Adult
45,29,M,programmer,50233,Young Adult
46,27,F,marketing,46538,Young Adult
47,53,M,marketing,07102,Senior
48,45,M,administrator,12550,Adult
49,23,F,student,76111,Young Adult
50,21,M,writer,52245,Young Adult
51,28,M,educator,16509,Young Adult
52,18,F,student,55105,Teen
53,26,M,programmer,55414,Young Adult
54,22,M,executive,66315,Young Adult
55,37,M,programmer,01331,Adult
56,25,M,librarian,46260,Young Adult
57,16,M,none,84010,Teen
58,27,M,programmer,52246,Young Adult
59,49,M,educator,08403,Adult
60,50,M,healthcare,06472,Adult
61,36,M,engineer,30040,Adult
62,27,F,administrator,97214,Young Adult
63,31,M,marketing,75240,Adult
64,32,M,educator,43202,Adult
65,51,F,educator,48118,Senior
66,23,M,student,80521,Young Adult
67,17,M,student,60402,Teen
68,19,M,student,22904,Young Adult
69,24,M,engineer,55337,Young Adult
70,27,M,engineer,60067,Young Adult
71,39,M,scientist,98034,Adult
72,48,F,administrator,73034,Adult
73,24,M,student,41850,Young Adult
74,39,M,scientist,T8H1N,Adult
75,24,M,entertainment,08816,Young Adult
76,20,M,student,02215,Young Adult
77,30,M,technician,29379,Young Adult
78,26,M,administrator,61801,Young Adult
79,39,F,administrator,03755,Adult
80,34,F,administrator,52241,Adult
81,21,M,student,21218,Young Adult
82,50,M,programmer,22902,Adult
83,40,M,other,44133,Adult
84,32,M,executive,55369,Adult
85,51,M,educator,20003,Senior
86,26,M,administrator,46005,Young Adult
87,47,M,administrator,89503,Adult
88,49,F,librarian,11701,Adult
89,43,F,administrator,68106,Adult
90,60,M,educator,78155,Senior
91,55,M,marketing,01913,Senior
92,32,M,entertainment,80525,Adult
93,48,M,executive,23112,Adult
94,26,M,student,71457,Young Adult
95,31,M,administrator,10707,Adult
96,25,F,artist,75206,Young Adult
97,43,M,artist,98006,Adult
98,49,F,executive,90291,Adult
99,20,M,student,63129,Young Adult
100,36,M,executive,90254,Adult
101,15,M,student,05146,Teen
102,38,M,programmer,30220,Adult
103,26,M,student,55108,Young Adult
104,27,M,student,55108,Young Adult
105,24,M,engineer,94043,Young Adult
106,61,M,retired,55125,Senior
107,39,M,scientist,60466,Adult
108,44,M,educator,63130,Adult
109,29,M,other,55423,Young Adult
110,19,M,student,77840,Young Adult
111,57,M,engineer,90630,Senior
112,30,M,salesman,60613,Young Adult
113,47,M,executive,95032,Adult
114,27,M,programmer,75013,Young Adult
115,31,M,engineer,17110,Adult
116,40,M,healthcare,97232,Adult
117,20,M,student,16125,Young Adult
118,21,M,administrator,90210,Young Adult
119,32,M,programmer,67401,Adult
120,47,F,other,06260,Adult
121,54,M,librarian,99603,Senior
122,32,F,writer,22206,Adult
123,48,F,artist,20008,Adult
124,34,M,student,60615,Adult
125,30,M,lawyer,22202,Young Adult
126,28,F,lawyer,20015,Young Adult
127,33,M,none,73439,Adult
128,24,F,marketing,20009,Young Adult
129,36,F,marketing,07039,Adult
130,20,M,none,60115,Young Adult
131,59,F,administrator,15237,Senior
132,24,M,other,94612,Young Adult
133,53,M,engineer,78602,Senior
134,31,M,programmer,80236,Adult
135,23,M,student,38401,Young Adult
136,51,M,other,97365,Senior
137,50,M,educator,84408,Adult
138,46,M,doctor,53211,Adult
139,20,M,student,08904,Young Adult
140,30,F,student,32250,Young Adult
141,49,M,programmer,36117,Adult
142,13,M,other,48118,Teen
143,42,M,technician,08832,Adult
144,53,M,programmer,20910,Senior
145,31,M,entertainment,V3N4P,Adult
146,45,M,artist,83814,Adult
147,40,F,librarian,02143,Adult
148,33,M,engineer,97006,Adult
149,35,F,marketing,17325,Adult
150,20,F,artist,02139,Young Adult
151,38,F,administrator,48103,Adult
152,33,F,educator,68767,Adult
153,25,M,student,60641,Young Adult
154,25,M,student,53703,Young Adult
155,32,F,other,11217,Adult
156,25,M,educator,08360,Young Adult
157,57,M,engineer,70808,Senior
158,50,M,educator,27606,Adult
159,23,F,student,55346,Young Adult
160,27,M,programmer,66215,Young Adult
161,50,M,lawyer,55104,Adult
162,25,M,artist,15610,Young Adult
163,49,M,administrator,97212,Adult
164,47,M,healthcare,80123,Adult
165,20,F,other,53715,Young Adult
166,47,M,educator,55113,Adult
167,37,M,other,L9G2B,Adult
168,48,M,other,80127,Adult
169,52,F,other,53705,Senior
170,53,F,healthcare,30067,Senior
171,48,F,educator,78750,Adult
